,Node_Betweenness_Centrality
125 St,0.318211271968717
36 St,0.214964422426736
59 St,0.20986761799121506
Atlantic Av-Barclays Ctr,0.20634714072324462
86 St,0.2000052006744986
7 Av,0.1830243902737778
59 St-Columbus Circle,0.15917456550322168
145 St,0.1491442669489024
74-Broadway-Jackson Hts-Roosevelt Av,0.14474210060773401
Queens Plaza,0.13688657237095522
Broadway Junction,0.10750481500986545
DeKalb Av,0.0898810574040781
3 Av-138 St,0.08759260860791605
14 St-8 Av,0.08420207720876907
3 Av-149 St,0.08294075302188789
21 St-Queensbridge,0.08008807278790418
Myrtle-Wyckoff Avs,0.07833318917272197
Nostrand Av,0.07744641633076614
Rockaway Blvd,0.07691026934682217
149 St-Grand Concourse,0.07678807134940108
E 180 St,0.07554229989622291
Jay St-MetroTech,0.06837825371294395
Hunts Point Av,0.06786012857101675
Utica Av,0.06698204359218579
Junction Blvd,0.06448507303874038
Church Av,0.06436004751267092
104 St,0.0633386135094887
Aqueduct-N Conduit Av,0.062440543111649226
Lexington Av-59 St,0.060426899284473076
Halsey St,0.05956361378931211
Jackson Hts-Roosevelt Av,0.05941439951661545
Canal St,0.05794653566512408
Howard Beach-JFK Airport,0.05739571622128052
Grand St,0.05692713454069448
Tremont Av,0.056619344817693
Prospect Av,0.05533104354509542
Woodhaven Blvd,0.05532356160068808
111 St,0.052751579341136
Broad Channel,0.052667992735449275
181 St,0.05234128013683492
Franklin Av-Medgar Evers College,0.05054541531247176
Forest Hills-71 Av,0.050496255399717624
Elmhurst Av,0.050348316379430214
168 St,0.04824759186732692
Gun Hill Rd,0.046638223452198584
Grand Av-Newtown,0.04658247322069593
Prospect Park,0.044438875862111045
Franklin Av-Botanic Garden,0.042840208218116335
Parkchester,0.03959468419383666
168 St-Washington Hts,0.038136609107594
Dyckman St,0.037021822479748626
Fordham Rd,0.036801686139012094
Jackson Av,0.035311197683463316
14 St-Union Sq,0.0344106035670847
Grand Central-42 St,0.03410298864915378
Kew Gardens-Union Tpke,0.0340634959755498
Euclid Av,0.03383532026050246
Graham Av,0.033457794094380135
Avenue U,0.03175403268119532
4 Av-9 St,0.031199517506056706
25 St,0.031195557737239
Mets-Willets Point,0.029998672187379925
Times Sq-42 St-42 St,0.0296945046731029
Fort Hamilton Pkwy,0.029147491130753406
Kings Hwy,0.027905428103362852
Queensboro Plaza,0.027070953733574665
Kingsbridge Rd,0.026607858398916082
Beach 67 St,0.02652137565222405
207 St,0.02652137565222405
Castle Hill Av,0.02652137565222405
Chambers St-WTC-Park Pl-Cortlandt,0.026386445524382053
Alabama Av,0.025794369445629513
9 Av,0.02555694401672919
Grant Av,0.025435004341991054
Chambers St-WTC-Park Pl,0.02511109433559736
Court Sq-23 St-Court Sq,0.024995295388318236
103 St-Corona Plaza,0.024636741892473762
Van Siclen Av,0.02440232668602345
Newkirk Plaza,0.02288107592697453
Lorimer St-Metropolitan Av,0.02265833254281192
Hoyt-Schermerhorn Sts,0.022148586087732486
80 St,0.021853810823065117
161 St-Yankee Stadium,0.021635529446002503
157 St,0.021404651399029865
215 St,0.021274755686240595
219 St,0.021274755686240595
Zerega Av,0.021274755686240595
Beach 60 St,0.021274755686240595
191 St,0.020986479863933812
190 St,0.020986479863933812
Broadway,0.02084949055076729
72 St,0.020479323189776664
88 St,0.020232037996596095
Coney Island-Stillwell Av,0.02011671927529778
Fulton St,0.019862625111198483
175 St,0.01912217609809058
Lexington Av-53 St-51 St,0.018837476824490416
W 4 St-Wash Sq,0.018338659038711323
New Utrecht Av-62 St,0.016877924521035984
75 St-Elderts Ln,0.01626142639129949
Myrtle Av,0.016045146987125742
225 St,0.015999308138026462
Seneca Av,0.015999308138026462
Westchester Sq-E Tremont Av,0.015999308138026462
Marble Hill-225 St,0.015999308138026462
Beach 90 St,0.01599930813802646
Beach 44 St,0.01599930813802646
167 St,0.01598292103027033
Crescent St,0.01592999862469059
Bay Pkwy,0.01550730306912303
Flushing Av,0.015484305790926724
50 St,0.01528488098054669
Cleveland St,0.014620006348885817
Lexington Av-63 St,0.014391502217402418
Nevins St,0.01375875042244748
Court St-Borough Hall,0.013643816201387327
Bergen St,0.013630271360710261
34 St-Herald Sq,0.013436897405441045
Parsons Blvd,0.012984583649635971
39 Av-Dutch Kills,0.012916724419140903
Clinton-Washington Avs,0.012888980747468559
Franklin Av,0.012743763433155638
Intervale Av,0.012513952325903226
Rockaway Av,0.012254307119551354
New Lots Av,0.011771219066038752
61 St-Woodside,0.011585701956459912
Delancey St-Essex St,0.01118503119008527
Liberty Av,0.010888027355911342
Crown Hts-Utica Av,0.01086149608112669
79 St,0.010721600391312692
Brooklyn Bridge-City Hall-Chambers St,0.01071958807222297
231 St,0.010695033007581654
Forest Av,0.010695033007581654
Beverly Rd,0.010695033007581654
Middletown Rd,0.010695033007581654
30 Av,0.010695033007581654
233 St,0.010695033007581654
Bedford Park Blvd-Lehman College,0.010695033007581654
Beach 98 St,0.010695033007581652
Beach 36 St,0.010695033007581652
96 St,0.010598480149347597
18 Av,0.010526996449537812
Brook Av,0.010464412349736227
36 Av,0.01002123651171041
Rector St,0.00993448644432204
Lorimer St,0.009924711935905295
47-50 Sts-Rockefeller Ctr,0.00989274130145109
Times Sq-42 St,0.009832621381337617
Sutphin Blvd-Archer Av-JFK Airport,0.009715743968079532
Broadway-Lafayette St,0.009611100689553637
Gates Av,0.009560915083666775
Broadway-Lafayette St-Bleecker St,0.009444114232529914
Chambers St-WTC,0.009216297830095907
34 St-Penn Station,0.009206980311695475
Steinway St,0.009047396289029074
21 St,0.008323417328847836
W 8 St-NY Aquarium,0.008263536591664507
116 St,0.008246417836834061
Jamaica-Van Wyck,0.00801624476698717
3 Av,0.007988932457887734
Chambers St,0.007905803924440716
Whitlock Av,0.007898757531205858
5 Av-53 St,0.007866989635361884
62 St,0.007765178208975301
Simpson St,0.00744029785330384
Marcy Av,0.007205971547684154
Union St,0.0071300609000340505
Classon Av,0.007053777420810817
Court Sq-23 St,0.006958969378713123
8 Av,0.006815232732112517
Atlantic Av,0.006642842739506296
South Ferry-Whitehall St,0.006456577629282042
14 St-6 Av,0.006101661348503961
Burnside Av,0.005863495907169695
67 Av,0.005814640571446
170 St,0.005534209417284743
Sutter Av-Rutland Rd,0.005506151679540729
Longwood Av,0.005491654414944218
238 St,0.005361930294906166
Astoria Blvd,0.005361930294906166
Fresh Pond Rd,0.005361930294906166
Newkirk Av-Little Haiti,0.005361930294906166
Buhre Av,0.005361930294906166
Baychester Av,0.005361930294906166
Mosholu Pkwy,0.005361930294906166
Bedford Park Blvd,0.005361930294906166
East 105 St,0.005361930294906166
Nereid Av,0.005361930294906166
Beach 25 St,0.0053619302949061655
Beach 105 St,0.0053619302949061655
174-175 Sts,0.00530897677183243
14 St,0.005227327383983679
Cypress Av,0.005174551010406757
Sheepshead Bay,0.005148318063215636
Junius St,0.005115580505418907
33 St-Rawson St,0.0050785509721707695
Kosciuszko St,0.005039979239674404
Greenpoint Av,0.004708457756308064
Botanic Garden,0.004676282092097248
Knickerbocker Av,0.004675766176589825
Chauncey St,0.004554979845864788
135 St,0.00422924654309243
Roosevelt Island,0.004220653826436541
Ralph Av,0.004184900853023195
York St,0.004176138175909653
46 St,0.004136857885884956
Pelham Pkwy,0.00413075230380428
Court St,0.00398714384557845
57 St-7 Av,0.0038304589122929423
Ditmas Av,0.0038204067595571157
1 Av,0.003694789536225994
Nassau Av,0.003691633950199467
155 St,0.0036416958031158498
Freeman St,0.0035762006851333345
Bowery,0.0035278395808071845
Jefferson St,0.0035100975775266717
West Farms Sq-E Tremont Av,0.0034421144387772225
Lexington Av-53 St,0.003257316717748675
Norwood Av,0.0032085323594923322
Bedford-Nostrand Avs,0.0030959204784201852
Bronx Park East,0.0030353041790384676
Morris Park,0.0030353041790384676
Briarwood,0.003029138279505831
Winthrop St,0.0030168306394199335
President St-Medgar Evers College,0.0029980383132679252
Avenue H,0.0029582067817912265
Avenue X,0.0028674153766600607
St Lawrence Av,0.002767447894145118
Elder Av,0.0026377237741070656
103 St,0.0025536525560056816
42 St-Port Authority Bus Terminal,0.0024917121828846233
Bedford Av,0.002489182663179128
Wall St,0.0024369789422337613
