,PD_within_5_hops
Atlantic Av-Barclays Ctr,0.6890080428954424
36 St,0.6863270777479893
7 Av,0.6729222520107239
59 St,0.6675603217158177
Prospect Park,0.6434316353887399
59 St-Columbus Circle,0.6353887399463807
86 St,0.6193029490616622
125 St,0.6193029490616622
14 St-8 Av,0.6166219839142091
Jay St-MetroTech,0.6058981233243967
DeKalb Av,0.6032171581769437
Queens Plaza,0.6032171581769437
Lexington Av-53 St-51 St,0.5951742627345844
Grand St,0.5924932975871313
21 St-Queensbridge,0.5924932975871313
47-50 Sts-Rockefeller Ctr,0.5898123324396782
Franklin Av-Medgar Evers College,0.5898123324396782
50 St,0.5898123324396782
5 Av-53 St,0.5871313672922251
Lexington Av-59 St,0.5871313672922251
72 St,0.5844504021447721
8 Av,0.5844504021447721
9 Av,0.579088471849866
Canal St,0.5764075067024129
Steinway St,0.5737265415549598
Grand Central-42 St,0.5737265415549598
Church Av,0.5710455764075067
Bergen St,0.5710455764075067
Fort Hamilton Pkwy,0.5710455764075067
Times Sq-42 St-42 St,0.5683646112600537
25 St,0.5683646112600537
Chambers St-WTC-Park Pl,0.5683646112600537
Chambers St-WTC-Park Pl-Cortlandt,0.5683646112600537
Lexington Av-63 St,0.5630026809651475
Union St,0.5630026809651475
Franklin Av-Botanic Garden,0.5576407506702413
4 Av-9 St,0.5549597855227882
W 4 St-Wash Sq,0.5522788203753352
Nevins St,0.5522788203753352
45 St,0.5522788203753352
Chambers St,0.5495978552278821
Brooklyn Bridge-City Hall-Chambers St,0.5495978552278821
Chambers St-WTC,0.5495978552278821
15 St-Prospect Park,0.546916890080429
51 St,0.5415549597855228
14 St-Union Sq,0.5388739946380697
Times Sq-42 St,0.5361930294906166
42 St-Port Authority Bus Terminal,0.5335120643431636
53 St,0.5335120643431636
Court Sq-23 St-Court Sq,0.5308310991957105
14 St,0.5281501340482574
14 St-6 Av,0.5281501340482574
Bay Ridge Av,0.5281501340482574
Botanic Garden,0.5281501340482574
68 St-Hunter College,0.5281501340482574
Lexington Av-53 St,0.5254691689008043
Hoyt-Schermerhorn Sts,0.5201072386058981
66 St-Lincoln Center,0.5201072386058981
34 St-Penn Station,0.517426273458445
Court Sq-23 St,0.517426273458445
Bryant Pk-5 Av,0.514745308310992
57 St,0.514745308310992
23 St,0.5120643431635389
6 Av,0.5120643431635389
New Utrecht Av-62 St,0.5120643431635389
34 St-Herald Sq,0.5093833780160858
Christopher St-Sheridan Sq,0.5067024128686327
Parkside Av,0.4959785522788204
Myrtle-Wyckoff Avs,0.4959785522788204
55 St,0.4932975871313673
Roosevelt Island,0.4879356568364611
Broadway-Lafayette St-Bleecker St,0.4879356568364611
79 St,0.4879356568364611
Broadway-Lafayette St,0.48525469168900803
Brooklyn Bridge-City Hall,0.48525469168900803
Spring St,0.48257372654155495
Franklin Av,0.48257372654155495
81 St-Museum of Natural History,0.48257372654155495
18 St,0.48257372654155495
96 St,0.48257372654155495
42 St-Bryant Pk,0.47989276139410186
City Hall,0.4772117962466488
Franklin St,0.4772117962466488
Nostrand Av,0.4772117962466488
62 St,0.4772117962466488
World Trade Center,0.4772117962466488
Prospect Av,0.4772117962466488
149 St-Grand Concourse,0.4745308310991957
High St,0.4718498659517426
135 St,0.4718498659517426
Avenue U,0.4718498659517426
Houston St,0.4718498659517426
Court St-Borough Hall,0.4691689008042895
Coney Island-Stillwell Av,0.46648793565683644
Fulton St,0.46648793565683644
145 St,0.46380697050938335
138 St-Grand Concourse,0.46112600536193027
57 St-7 Av,0.46112600536193027
Newkirk Plaza,0.45576407506702415
Bay Ridge-95 St,0.45576407506702415
77 St,0.45576407506702415
5 Av,0.45308310991957107
Jefferson St,0.45308310991957107
Bowery,0.45308310991957107
137 St-City College,0.45308310991957107
Ditmas Av,0.45308310991957107
York St,0.450402144772118
Graham Av,0.4477211796246649
3 Av-138 St,0.4477211796246649
Court St,0.4450402144772118
18 Av,0.4450402144772118
New Utrecht Av,0.44235924932975873
Park Place,0.43967828418230565
116 St,0.43967828418230565
Prince St,0.43967828418230565
116 St-Columbia University,0.43967828418230565
Queensboro Plaza,0.43699731903485256
74-Broadway-Jackson Hts-Roosevelt Av,0.43699731903485256
Jackson Hts-Roosevelt Av,0.43699731903485256
Winthrop St,0.43699731903485256
Cortlandt,0.4343163538873995
