,Removed_Node,Nodes_Made_Unreachable
13,125 St,18
136,3 Av-138 St,17
181,Rockaway Blvd,14
47,E 180 St,13
182,Aqueduct-N Conduit Av,12
183,Howard Beach-JFK Airport,11
130,Hunts Point Av,11
8,181 St,10
184,Broad Channel,10
42,Gun Hill Rd,7
6,Dyckman St,7
125,Parkchester,6
94,Fordham Rd,6
185,Beach 67 St,5
5,207 St,5
124,Castle Hill Av,5
93,Kingsbridge Rd,5
4,215 St,4
298,Myrtle-Wyckoff Avs,4
186,Beach 60 St,4
123,Zerega Av,4
41,219 St,4
310,Seneca Av,3
268,Broadway,3
197,Beach 90 St,3
187,Beach 44 St,3
40,225 St,3
122,Westchester Sq-E Tremont Av,3
75,Church Av,3
3,Marble Hill-225 St,3
2,231 St,2
188,Beach 36 St,2
39,233 St,2
76,Beverly Rd,2
92,Bedford Park Blvd-Lehman College,2
121,Middletown Rd,2
88,New Lots Av,2
196,Beach 98 St,2
236,Parsons Blvd,2
316,30 Av,2
311,Forest Av,2
120,Buhre Av,1
138,Mets-Willets Point,1
1,238 St,1
189,Beach 25 St,1
11,145 St,1
61,Fulton St,1
38,Nereid Av,1
77,Newkirk Av-Little Haiti,1
117,Baychester Av,1
139,111 St,1
91,Mosholu Pkwy,1
35,Rector St,1
198,Bedford Park Blvd,1
195,Beach 105 St,1
215,Sutphin Blvd-Archer Av-JFK Airport,1
292,East 105 St,1
324,South Ferry-Whitehall St,1
315,Astoria Blvd,1
312,Fresh Pond Rd,1
359,Brooklyn Bridge-City Hall-Chambers St,0
358,Broadway-Lafayette St-Bleecker St,0
357,14 St-6 Av,0
356,14 St-8 Av,0
355,Lexington Av-53 St-51 St,0
354,Cortlandt,0
353,5 Av-59 St,0
352,5 Av-53 St,0
15,Cathedral Pkwy,0
326,Union St,0
60,Park Place,0
59,Central Park North,0
58,116 St,0
57,135 St,0
56,149 St-Grand Concourse,0
55,3 Av-149 St,0
54,Jackson Av,0
53,Prospect Av,0
52,Intervale Av,0
51,Simpson St,0
50,Freeman St,0
49,174 St,0
48,West Farms Sq-E Tremont Av,0
367,Franklin Av-Botanic Garden,0
366,Court St-Borough Hall,0
78,Flatbush Av-Brooklyn College,0
74,Winthrop St,0
73,Sterling St,0
72,President St-Medgar Evers College,0
71,Franklin Av-Medgar Evers College,0
70,Eastern Pkwy-Brooklyn Museum,0
69,Grand Army Plaza,0
68,Bergen St,0
67,Atlantic Av-Barclays Ctr,0
66,Nevins St,0
65,Hoyt St,0
64,Borough Hall,0
63,Clark St,0
62,Wall St,0
96,Burnside Av,0
95,183 St,0
90,Woodlawn,0
89,Harlem-148 St,0
87,Van Siclen Av,0
86,Pennsylvania Av,0
85,Junius St,0
84,Rockaway Av,0
83,Saratoga Av,0
82,Sutter Av-Rutland Rd,0
81,Crown Hts-Utica Av,0
80,Kingston Av,0
79,Nostrand Av,0
32,Canal St,0
111,51 St,0
110,68 St-Hunter College,0
109,77 St,0
108,110 St,0
107,Bowling Green,0
106,Brooklyn Bridge-City Hall,0
105,14 St-Union Sq,0
104,Grand Central-42 St,0
103,59 St,0
102,138 St-Grand Concourse,0
